City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,mahdishahr,35.7108,53.3556,281.16,59,59,2.23,IR,2023-11-27 20:08:18
124,crane,31.3974,-102.3501,284.55,31,31,5.09,US,2023-11-27 20:08:18
125,moree,-29.4667,149.85,295.41,73,73,4.73,AU,2023-11-27 20:08:19
126,gurghiu,46.7667,24.85,272.29,96,96,1.53,RO,2023-11-27 20:08:19
127,kasempa,-13.4584,25.8338,291.39,94,94,1.02,ZM,2023-11-27 20:08:19
128,cabedelo,-6.9811,-34.8339,298.52,77,77,6.21,BR,2023-11-27 20:08:19
129,talnakh,69.4865,88.3972,249.01,99,99,3.69,RU,2023-11-27 20:07:12
130,batangafo,7.3008,18.2833,300.23,52,52,1.71,CF,2023-11-27 20:08:19
131,namibe,-15.1961,12.1522,296.82,75,75,3.45,AO,2023-11-27 20:08:19
132,cochin,9.9399,76.2602,299.14,86,86,2.74,IN,2023-11-27 20:08:19
133,mount isa,-20.7333,139.5,293.02,100,100,1.54,AU,2023-11-27 20:04:35
134,taoudenni,22.6783,-3.9836,293.91,16,16,3.85,ML,2023-11-27 20:08:19
135,soverato marina,38.685,16.5499,286.01,75,75,1.92,IT,2023-11-27 20:08:20
136,lithgow,-33.4833,150.15,286.84,97,97,1.0,AU,2023-11-27 20:08:20
137,badeggi,9.05,6.15,302.16,48,48,1.95,NG,2023-11-27 20:08:20
138,mokhsogollokh,61.4681,128.9203,245.65,99,99,1.58,RU,2023-11-27 20:08:20
139,copala,16.65,-98.9833,303.29,61,61,3.9,MX,2023-11-27 20:08:20
140,olonkinbyen,70.9221,-8.7187,275.16,89,89,8.99,SJ,2023-11-27 20:08:20
141,illizi,26.4833,8.4667,290.63,25,25,0.99,DZ,2023-11-27 20:08:20
142,alesund,62.4723,6.1549,274.12,61,61,9.77,NO,2023-11-27 20:08:21
143,ambon,-3.6954,128.1814,299.31,15,15,0.71,ID,2023-11-27 20:08:21
144,la'ie,21.6477,-157.9253,299.13,74,74,4.47,US,2023-11-27 20:08:21
145,petropavlovsk-kamchatsky,53.0452,158.6483,267.29,63,63,7.15,RU,2023-11-27 20:08:21
146,inirida,3.8653,-67.9239,303.14,67,67,0.51,CO,2023-11-27 20:08:21
147,fort bragg,35.139,-79.006,288.06,39,39,5.36,US,2023-11-27 20:08:21
148,anatuya,-28.4606,-62.8347,306.23,43,43,5.54,AR,2023-11-27 20:08:21
149,sudislavl',57.8817,41.7083,273.2,93,93,5.45,RU,2023-11-27 20:08:21
150,slave lake,55.2834,-114.769,277.14,60,60,6.69,CA,2023-11-27 20:08:21
151,bartica,6.4,-58.6167,303.33,81,81,0.94,GY,2023-11-27 20:08:22
152,petrozavodsk,61.7849,34.3469,265.85,93,93,8.94,RU,2023-11-27 20:05:35
153,plainview,40.7765,-73.4673,283.85,55,55,5.14,US,2023-11-27 20:03:46
154,bredasdorp,-34.5322,20.0403,290.97,90,90,0.51,ZA,2023-11-27 20:08:22
155,minas de marcona,-15.2119,-75.1103,293.44,56,56,6.83,PE,2023-11-27 20:08:22
156,praia da vitoria,38.7333,-27.0667,291.35,93,93,2.78,PT,2023-11-27 20:08:22
157,neverkino,52.7854,46.7417,271.77,91,91,3.48,RU,2023-11-27 20:08:22
158,bay roberts,47.5999,-53.2648,276.11,77,77,2.68,CA,2023-11-27 20:08:22
159,carnarvon,-24.8667,113.6333,294.44,68,68,7.53,AU,2023-11-27 20:08:22
160,mount pearl,47.5166,-52.7813,275.45,78,78,1.79,CA,2023-11-27 20:08:23
161,iho,5.5667,7.1,297.93,85,85,1.79,NG,2023-11-27 20:08:23
162,nikolayevsk-on-amure,53.1406,140.73,255.4,83,83,2.47,RU,2023-11-27 20:08:23
163,luderitz,-26.6481,15.1594,292.94,63,63,8.36,NA,2023-11-27 20:08:23
164,amahai,-3.3333,128.9167,299.19,84,84,0.89,ID,2023-11-27 20:08:23
165,peace river,56.2501,-117.286,278.93,56,56,8.69,CA,2023-11-27 20:08:23
166,stanley,54.868,-1.6985,279.29,91,91,7.72,GB,2023-11-27 20:08:23
167,thompson,55.7435,-97.8558,257.38,64,64,1.51,CA,2023-11-27 20:07:40
168,arkhangel'sk,64.5401,40.5433,262.66,82,82,5.85,RU,2023-11-27 20:04:05
169,port lincoln,-34.7333,135.8667,286.37,91,91,8.84,AU,2023-11-27 20:08:24
170,iskateley,67.6803,53.1512,249.33,100,100,0.77,RU,2023-11-27 20:08:24
171,muravlenko,63.7898,74.523,268.96,97,97,4.69,RU,2023-11-27 20:03:25
172,belmonte,-15.8631,-38.8828,299.68,66,66,3.42,BR,2023-11-27 20:08:24
173,tukrah,32.5341,20.5791,290.04,54,54,6.61,LY,2023-11-27 20:08:24
174,vilyuchinsk,52.9306,158.4028,268.11,83,83,3.85,RU,2023-11-27 20:08:24
175,diamantino,-14.4086,-56.4461,301.59,64,64,0.91,BR,2023-11-27 20:08:24
176,turinsk,58.0458,63.696,274.03,86,86,5.2,RU,2023-11-27 20:06:39
177,bayganin,48.6947,55.8742,278.26,84,84,1.57,KZ,2023-11-27 20:08:24
178,passagem franca,-6.1797,-43.7836,308.18,29,29,1.98,BR,2023-11-27 20:08:24
179,macas,-2.3167,-78.1167,297.01,73,73,1.7,EC,2023-11-27 20:08:25
180,nar'yan-mar,67.6713,53.087,249.39,100,100,0.73,RU,2023-11-27 20:08:25
181,san antonio de pale,-1.4014,5.6325,299.23,81,81,2.72,GQ,2023-11-27 20:08:25
182,bronnitsy,55.4194,38.2708,273.09,74,74,10.0,RU,2023-11-27 20:08:25
183,st. john's,47.5649,-52.7093,275.91,78,78,2.68,CA,2023-11-27 20:08:25
184,sidi bennour,32.6524,-8.4277,287.23,76,76,3.22,MA,2023-11-27 20:08:25
185,kirensk,57.7853,108.1119,255.91,99,99,0.89,RU,2023-11-27 20:08:25
186,portland,45.5234,-122.6762,283.18,58,58,6.69,US,2023-11-27 20:08:02
187,mammoth lakes,37.6485,-118.9721,278.34,19,19,1.54,US,2023-11-27 20:08:25
188,kolonia town,6.964,158.206,302.15,79,79,4.63,FM,2023-11-27 20:08:26
189,huarmey,-10.0681,-78.1522,296.13,73,73,5.41,PE,2023-11-27 20:08:26
190,klyuchi,52.2667,79.1667,271.95,77,77,5.81,RU,2023-11-27 20:08:26
191,palikir - national government center,6.9248,158.1611,301.56,79,79,4.63,FM,2023-11-27 20:08:26
192,geraldton,-28.7667,114.6,294.38,64,64,5.14,AU,2023-11-27 20:08:26
193,soio,-6.1349,12.3689,298.96,86,86,2.84,AO,2023-11-27 20:08:26
194,ishigaki,24.3448,124.1572,296.24,71,71,9.91,JP,2023-11-27 20:08:26
